,Bairro,Candidato,Votos
111,COLÔNIA RIO GRANDE,Total Apurado,1285
112,COLÔNIA RIO GRANDE,Não há votos nominais,1
113,CONTENDA,Não há votos nominais,19
114,CONTENDA,13 WILSON CABELO,42
115,CONTENDA,44 GERALDO MENDES,563
116,CONTENDA,55 NINA SINGER,2228
117,CONTENDA,Eleitores Aptos,3951
118,CONTENDA,Votos nominais,2833
119,CONTENDA,Votos de legenda,0
120,CONTENDA,Votos em branco,116
121,CONTENDA,Votos Nulos,102
122,CONTENDA,Total Apurado,3051
123,COSTEIRA,13 WILSON CABELO,426
124,COSTEIRA,44 GERALDO MENDES,2686
125,COSTEIRA,55 NINA SINGER,3542
126,COSTEIRA,Eleitores Aptos,9972
127,COSTEIRA,Votos nominais,6654
128,COSTEIRA,Votos de legenda,0
129,COSTEIRA,Votos em branco,327
130,COSTEIRA,Votos Nulos,394
131,COSTEIRA,Total Apurado,7375
132,COSTEIRA,Não há votos nominais,1
133,COTIA,13 WILSON CABELO,13
134,COTIA,44 GERALDO MENDES,231
135,COTIA,55 NINA SINGER,349
136,COTIA,Eleitores Aptos,850
137,COTIA,Votos nominais,593
138,COTIA,Votos de legenda,0
139,COTIA,Votos em branco,55
140,COTIA,Votos Nulos,41
141,COTIA,Total Apurado,689
142,COTIA,Não há votos nominais,8
143,CRISTAL,Não há votos nominais,5
144,CRISTAL,13 WILSON CABELO,72
145,CRISTAL,44 GERALDO MENDES,1341
146,CRISTAL,55 NINA SINGER,1236
147,CRISTAL,Eleitores Aptos,3945
148,CRISTAL,Votos nominais,2649
149,CRISTAL,Votos de legenda,0
150,CRISTAL,Votos em branco,157
151,CRISTAL,Votos Nulos,148
152,CRISTAL,Total Apurado,2954
153,CRUZEIRO,13 WILSON CABELO,587
154,CRUZEIRO,44 GERALDO MENDES,2991
155,CRUZEIRO,55 NINA SINGER,4352
156,CRUZEIRO,Eleitores Aptos,11617
157,CRUZEIRO,Votos nominais,7930
158,CRUZEIRO,Votos de legenda,0
159,CRUZEIRO,Votos em branco,438
160,CRUZEIRO,Votos Nulos,543
161,CRUZEIRO,Total Apurado,8911
162,CRUZEIRO,Não há votos nominais,7
163,FAXINA,13 WILSON CABELO,51
164,FAXINA,44 GERALDO MENDES,246
165,FAXINA,55 NINA SINGER,446
166,FAXINA,Eleitores Aptos,979
167,FAXINA,Votos nominais,743
168,FAXINA,Votos de legenda,0
169,FAXINA,Votos em branco,23
170,FAXINA,Votos Nulos,21
171,FAXINA,Total Apurado,787
172,GUATUPÊ,13 WILSON CABELO,281
173,GUATUPÊ,44 GERALDO MENDES,4568
174,GUATUPÊ,55 NINA SINGER,4505
175,GUATUPÊ,Eleitores Aptos,14521
176,GUATUPÊ,Votos nominais,9354
177,GUATUPÊ,Votos de legenda,0
178,GUATUPÊ,Votos em branco,612
179,GUATUPÊ,Votos Nulos,536
180,GUATUPÊ,Total Apurado,10502
181,GUATUPÊ,Não há votos nominais,7
182,INÁ,13 WILSON CABELO,256
183,INÁ,44 GERALDO MENDES,2707
184,INÁ,55 NINA SINGER,3956
185,INÁ,Eleitores Aptos,11024
186,INÁ,Votos nominais,6919
187,INÁ,Votos de legenda,0
188,INÁ,Votos em branco,420
189,INÁ,Votos Nulos,419
190,INÁ,Total Apurado,7758
191,INÁ,Não há votos nominais,4
192,IPÊ,13 WILSON CABELO,209
193,IPÊ,44 GERALDO MENDES,3127
194,IPÊ,55 NINA SINGER,3640
195,IPÊ,Eleitores Aptos,10234
196,IPÊ,Votos nominais,6976
197,IPÊ,Votos de legenda,0
198,IPÊ,Votos em branco,381
199,IPÊ,Votos Nulos,358
200,IPÊ,Total Apurado,7715
201,IPÊ,Não há votos nominais,10
202,ITALIA,13 WILSON CABELO,115
203,ITALIA,44 GERALDO MENDES,1325
204,ITALIA,55 NINA SINGER,1667
205,ITALIA,Eleitores Aptos,4419
206,ITALIA,Votos nominais,3107
207,ITALIA,Votos de legenda,0
208,ITALIA,Votos em branco,145
209,ITALIA,Votos Nulos,155
210,ITALIA,Total Apurado,3407
211,ITALIA,Não há votos nominais,7
212,MALHADA,13 WILSON CABELO,15
213,MALHADA,44 GERALDO MENDES,278
214,MALHADA,55 NINA SINGER,835
215,MALHADA,Eleitores Aptos,1412
216,MALHADA,Votos nominais,1128
217,MALHADA,Votos de legenda,0
218,MALHADA,Votos em branco,39
219,MALHADA,Votos Nulos,37
220,MALHADA,Total Apurado,1204
221,MALHADA,Não há votos nominais,1
222,MARCELINO,44 GERALDO MENDES,106
223,MARCELINO,55 NINA SINGER,297
224,MARCELINO,Eleitores Aptos,551
225,MARCELINO,Votos nominais,405
226,MARCELINO,Votos de legenda,0
227,MARCELINO,Votos em branco,26
228,MARCELINO,Votos Nulos,23
229,MARCELINO,Total Apurado,454
230,MARCELINO,13 WILSON CABELO,2
231,MIRINGUAVA,13 WILSON CABELO,33
232,MIRINGUAVA,44 GERALDO MENDES,636
233,MIRINGUAVA,55 NINA SINGER,890
234,MIRINGUAVA,Eleitores Aptos,2279
235,MIRINGUAVA,Votos nominais,1559
236,MIRINGUAVA,Votos de legenda,0
237,MIRINGUAVA,Votos em branco,84
238,MIRINGUAVA,Votos Nulos,99
239,MIRINGUAVA,Total Apurado,1742
240,MIRINGUAVA,Não há votos nominais,2
241,MURICI,Não há votos nominais,8
242,MURICI,13 WILSON CABELO,44
243,MURICI,44 GERALDO MENDES,723
244,MURICI,55 NINA SINGER,1314
245,MURICI,Eleitores Aptos,2768
246,MURICI,Votos nominais,2081
247,MURICI,Votos de legenda,0
248,MURICI,Votos em branco,75
249,MURICI,Votos Nulos,126
250,MURICI,Total Apurado,2282
251,PARQUE DA FONTE,13 WILSON CABELO,322
252,PARQUE DA FONTE,44 GERALDO MENDES,3409
253,PARQUE DA FONTE,55 NINA SINGER,4343
254,PARQUE DA FONTE,Eleitores Aptos,11976
255,PARQUE DA FONTE,Votos nominais,8074
256,PARQUE DA FONTE,Votos de legenda,0
257,PARQUE DA FONTE,Votos em branco,472
258,PARQUE DA FONTE,Votos Nulos,490
259,PARQUE DA FONTE,Total Apurado,9036
260,PARQUE DA FONTE,Não há votos nominais,12
261,PEDRO MORO,13 WILSON CABELO,261
262,PEDRO MORO,44 GERALDO MENDES,2208
263,PEDRO MORO,55 NINA SINGER,3867
264,PEDRO MORO,Eleitores Aptos,9120
265,PEDRO MORO,Votos nominais,6336
266,PEDRO MORO,Votos de legenda,0
267,PEDRO MORO,Votos em branco,298
268,PEDRO MORO,Votos Nulos,424
269,PEDRO MORO,Total Apurado,7058
270,PEDRO MORO,Não há votos nominais,2
271,QUISSISANA,13 WILSON CABELO,672
272,QUISSISANA,44 GERALDO MENDES,2165
273,QUISSISANA,55 NINA SINGER,2258
274,QUISSISANA,Eleitores Aptos,7406
275,QUISSISANA,Votos nominais,5095
276,QUISSISANA,Votos de legenda,0
277,QUISSISANA,Votos em branco,289
278,QUISSISANA,Votos Nulos,344
279,QUISSISANA,Total Apurado,5728
280,RIO PEQUENO,13 WILSON CABELO,607
281,RIO PEQUENO,44 GERALDO MENDES,2407
282,RIO PEQUENO,55 NINA SINGER,2821
283,RIO PEQUENO,Eleitores Aptos,9592
284,RIO PEQUENO,Votos nominais,5835
285,RIO PEQUENO,Votos de legenda,0
286,RIO PEQUENO,Votos em branco,343
287,RIO PEQUENO,Votos Nulos,296
288,RIO PEQUENO,Total Apurado,6474
289,RIO PEQUENO,Não há votos nominais,10
290,ROSEIRA DE SÃO SEBASTIÃO,Não há votos nominais,1
291,ROSEIRA DE SÃO SEBASTIÃO,13 WILSON CABELO,89
292,ROSEIRA DE SÃO SEBASTIÃO,44 GERALDO MENDES,1210
293,ROSEIRA DE SÃO SEBASTIÃO,55 NINA SINGER,613
294,ROSEIRA DE SÃO SEBASTIÃO,Eleitores Aptos,2876
295,ROSEIRA DE SÃO SEBASTIÃO,Votos nominais,1912
296,ROSEIRA DE SÃO SEBASTIÃO,Votos de legenda,0
297,ROSEIRA DE SÃO SEBASTIÃO,Votos em branco,136
298,ROSEIRA DE SÃO SEBASTIÃO,Votos Nulos,112
299,ROSEIRA DE SÃO SEBASTIÃO,Total Apurado,2160
300,ROÇA VELHA,13 WILSON CABELO,13
301,ROÇA VELHA,44 GERALDO MENDES,62
302,ROÇA VELHA,55 NINA SINGER,437
303,ROÇA VELHA,Eleitores Aptos,632
304,ROÇA VELHA,Votos nominais,512
305,ROÇA VELHA,Votos de legenda,0
306,ROÇA VELHA,Votos em branco,13
307,ROÇA VELHA,Votos Nulos,20
308,ROÇA VELHA,Total Apurado,545
309,SANTO ANTÔNIO,13 WILSON CABELO,201
310,SANTO ANTÔNIO,44 GERALDO MENDES,2251
311,SANTO ANTÔNIO,55 NINA SINGER,3123
312,SANTO ANTÔNIO,Eleitores Aptos,8485
313,SANTO ANTÔNIO,Votos nominais,5575
314,SANTO ANTÔNIO,Votos de legenda,0
315,SANTO ANTÔNIO,Votos em branco,308
316,SANTO ANTÔNIO,Votos Nulos,342
317,SANTO ANTÔNIO,Total Apurado,6225
318,SANTO ANTÔNIO,Não há votos nominais,3
319,SÃO CRISTOVÃO,13 WILSON CABELO,96
320,SÃO CRISTOVÃO,44 GERALDO MENDES,991
321,SÃO CRISTOVÃO,55 NINA SINGER,1492
322,SÃO CRISTOVÃO,Eleitores Aptos,3740
323,SÃO CRISTOVÃO,Votos nominais,2579
324,SÃO CRISTOVÃO,Votos de legenda,0
325,SÃO CRISTOVÃO,Votos em branco,108
326,SÃO CRISTOVÃO,Votos Nulos,143
327,SÃO CRISTOVÃO,Total Apurado,2830
328,SÃO CRISTOVÃO,Não há votos nominais,3
329,SÃO DOMINGOS,13 WILSON CABELO,34
330,SÃO DOMINGOS,44 GERALDO MENDES,301
331,SÃO DOMINGOS,55 NINA SINGER,426
332,SÃO DOMINGOS,Eleitores Aptos,1113
333,SÃO DOMINGOS,Votos nominais,761
334,SÃO DOMINGOS,Votos de legenda,0
335,SÃO DOMINGOS,Votos em branco,40
336,SÃO DOMINGOS,Votos Nulos,61
337,SÃO DOMINGOS,Total Apurado,862
338,SÃO MARCOS,13 WILSON CABELO,192
339,SÃO MARCOS,44 GERALDO MENDES,2600
340,SÃO MARCOS,55 NINA SINGER,3152
341,SÃO MARCOS,Eleitores Aptos,8884
342,SÃO MARCOS,Votos nominais,5944
343,SÃO MARCOS,Votos de legenda,0
344,SÃO MARCOS,Votos em branco,308
345,SÃO MARCOS,Votos Nulos,355
346,SÃO MARCOS,Total Apurado,6607
347,SÃO MARCOS,Não há votos nominais,4
348,SÃO PEDRO,13 WILSON CABELO,110
349,SÃO PEDRO,44 GERALDO MENDES,728
350,SÃO PEDRO,55 NINA SINGER,1337
351,SÃO PEDRO,Eleitores Aptos,3164
352,SÃO PEDRO,Votos nominais,2175
353,SÃO PEDRO,Votos de legenda,0
354,SÃO PEDRO,Votos em branco,110
355,SÃO PEDRO,Votos Nulos,124
356,SÃO PEDRO,Total Apurado,2409
357,SÃO SEBASTIÃO,Não há votos nominais,4
358,SÃO SEBASTIÃO,13 WILSON CABELO,10
359,SÃO SEBASTIÃO,44 GERALDO MENDES,61
360,SÃO SEBASTIÃO,55 NINA SINGER,65
361,SÃO SEBASTIÃO,Eleitores Aptos,184
362,SÃO SEBASTIÃO,Votos nominais,136
363,SÃO SEBASTIÃO,Votos de legenda,0
364,SÃO SEBASTIÃO,Votos em branco,8
365,SÃO SEBASTIÃO,Votos Nulos,13
366,SÃO SEBASTIÃO,Total Apurado,157
367,VILA JUREMA,13 WILSON CABELO,35
368,VILA JUREMA,44 GERALDO MENDES,116
369,VILA JUREMA,55 NINA SINGER,85
370,VILA JUREMA,Eleitores Aptos,275
371,VILA JUREMA,Votos nominais,236
372,VILA JUREMA,Votos de legenda,0
373,VILA JUREMA,Votos em branco,9
374,VILA JUREMA,Votos Nulos,7
375,VILA JUREMA,Total Apurado,252
376,ZACARIAS,13 WILSON CABELO,32
377,ZACARIAS,44 GERALDO MENDES,339
378,ZACARIAS,55 NINA SINGER,546
379,ZACARIAS,Eleitores Aptos,1287
380,ZACARIAS,Votos nominais,917
381,ZACARIAS,Votos de legenda,0
382,ZACARIAS,Votos em branco,51
383,ZACARIAS,Votos Nulos,50
384,ZACARIAS,Total Apurado,1018
385,ÁGUAS BELAS,13 WILSON CABELO,39
386,ÁGUAS BELAS,44 GERALDO MENDES,383
387,ÁGUAS BELAS,55 NINA SINGER,666
388,ÁGUAS BELAS,Eleitores Aptos,1585
389,ÁGUAS BELAS,Votos nominais,1088
390,ÁGUAS BELAS,Votos de legenda,0
391,ÁGUAS BELAS,Votos em branco,60
392,ÁGUAS BELAS,Votos Nulos,75
393,ÁGUAS BELAS,Total Apurado,1223
