
Cidade: 78859, Zona: 0008, Seção: 0021
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,20
8,Total Apurado,273

Cidade: 78859, Zona: 0008, Seção: 0055
,Candidato,Votacao
0,13 WILSON CABELO,6
1,44 GERALDO MENDES,91
2,55 NINA SINGER,132
3,Eleitores Aptos,347
4,Votos nominais,229
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,15
8,Total Apurado,256

Cidade: 78859, Zona: 0008, Seção: 0077
,Candidato,Votacao
0,13 WILSON CABELO,17
1,44 GERALDO MENDES,68
2,55 NINA SINGER,121
3,Eleitores Aptos,328
4,Votos nominais,206
5,Votos de legenda,0
6,Votos em branco,4
7,Votos Nulos,17
8,Total Apurado,227

Cidade: 78859, Zona: 0008, Seção: 0078
,Candidato,Votacao
0,13 WILSON CABELO,15
1,44 GERALDO MENDES,81
2,55 NINA SINGER,114
3,Eleitores Aptos,325
4,Votos nominais,210
5,Votos de legenda,0
6,Votos em branco,9
7,Votos Nulos,14
8,Total Apurado,233

Cidade: 78859, Zona: 0008, Seção: 0079
,Candidato,Votacao
0,13 WILSON CABELO,9
1,44 GERALDO MENDES,72
2,55 NINA SINGER,143
3,Eleitores Aptos,325
4,Votos nominais,224
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,11
8,Total Apurado,242

Cidade: 78859, Zona: 0008, Seção: 0080
,Candidato,Votacao
0,13 WILSON CABELO,9
1,44 GERALDO MENDES,69
2,55 NINA SINGER,127
3,Eleitores Aptos,325
4,Votos nominais,205
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,16
8,Total Apurado,231

Cidade: 78859, Zona: 0008, Seção: 0081
,Candidato,Votacao
0,13 WILSON CABELO,15
1,44 GERALDO MENDES,78
2,55 NINA SINGER,133
3,Eleitores Aptos,324
4,Votos nominais,226
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,9
8,Total Apurado,247

Cidade: 78859, Zona: 0008, Seção: 0082
,Candidato,Votacao
0,13 WILSON CABELO,9
1,44 GERALDO MENDES,74
2,55 NINA SINGER,125
3,Eleitores Aptos,324
4,Votos nominais,208
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,17
8,Total Apurado,236

Cidade: 78859, Zona: 0008, Seção: 0083
,Candidato,Votacao
0,13 WILSON CABELO,12
1,44 GERALDO MENDES,76
2,55 NINA SINGER,138
3,Eleitores Aptos,327
4,Votos nominais,226
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,11
8,Total Apurado,248

Cidade: 78859, Zona: 0008, Seção: 0084
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,70
2,55 NINA SINGER,140
3,Eleitores Aptos,326
4,Votos nominais,218
5,Votos de legenda,0
6,Votos em branco,9
7,Votos Nulos,19
8,Total Apurado,246

Cidade: 78859, Zona: 0008, Seção: 0085
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,62
2,55 NINA SINGER,142
3,Eleitores Aptos,327
4,Votos nominais,215
5,Votos de legenda,0
6,Votos em branco,6
7,Votos Nulos,14
8,Total Apurado,235

Cidade: 78859, Zona: 0008, Seção: 0086
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,58
2,55 NINA SINGER,133
3,Eleitores Aptos,326
4,Votos nominais,202
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,17
8,Total Apurado,230

Cidade: 78859, Zona: 0008, Seção: 0087
,Candidato,Votacao
0,13 WILSON CABELO,6
1,44 GERALDO MENDES,66
2,55 NINA SINGER,142
3,Eleitores Aptos,323
4,Votos nominais,214
5,Votos de legenda,0
6,Votos em branco,5
7,Votos Nulos,20
8,Total Apurado,239

Cidade: 78859, Zona: 0008, Seção: 0088
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,60
2,55 NINA SINGER,159
3,Eleitores Aptos,324
4,Votos nominais,232
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,13
8,Total Apurado,252

Cidade: 78859, Zona: 0008, Seção: 0104
,Candidato,Votacao
0,13 WILSON CABELO,12
1,44 GERALDO MENDES,74
2,55 NINA SINGER,136
3,Eleitores Aptos,355
4,Votos nominais,222
5,Votos de legenda,0
6,Votos em branco,6
7,Votos Nulos,15
8,Total Apurado,243

Cidade: 78859, Zona: 0008, Seção: 0105
,Candidato,Votacao
0,13 WILSON CABELO,7
1,44 GERALDO MENDES,82
2,55 NINA SINGER,152
3,Eleitores Aptos,361
